设备类型,回路号,坐标,设备数量,数量文本坐标,匹配距离
第三方电表,补偿柜,"(4101.49, -316.46, 0)",1,,0.0
第三方电表,TB1-05,"(4151.49, -331.46, 0)",5,"(4162.35, -333.08, 0)",10.98016393320303
第三方电表,TB1-04,"(4151.49, -316.46, 0)",6,"(4162.35, -318.08, 0)",10.98016393320303
第三方电表,TB1-03,"(4151.49, -301.46, 0)",6,"(4162.35, -303.08, 0)",10.98016393320303
第三方电表,TB1-02,"(4101.49, -346.46, 0)",7,"(4112.35, -348.08, 0)",10.98016393320303
第三方电表,TB1-01,"(4101.49, -331.46, 0)",8,"(4112.35, -333.08, 0)",10.98016393320303
第三方电表,进线柜,"(4101.49, -301.46, 0)",1,,0.0
第三方电表,TA1-05,"(4051.49, -331.46, 0)",5,"(4062.35, -333.08, 0)",10.980163933202581
第三方电表,TA1-04,"(4051.49, -316.46, 0)",6,"(4062.35, -318.08, 0)",10.980163933202581
第三方电表,TA1-03,"(4051.49, -301.46, 0)",6,"(4062.35, -303.08, 0)",10.980163933202581
第三方电表,TA1-02,"(4001.49, -346.46, 0)",8,"(4012.35, -348.08, 0)",10.980163933202581
第三方电表,TA1-01,"(4001.49, -331.46, 0)",8,"(4012.35, -333.08, 0)",10.980163933202581
第三方电表,补偿柜,"(4001.49, -316.46, 0)",1,,0.0
第三方电表,进线柜,"(4001.49, -301.46, 0)",1,,0.0
第三方电表,能-TB-04,"(3563.56, -346.46, 0)",5,"(3574.42, -348.08, 0)",10.980163933202581
第三方电表,能-TB-03,"(3563.56, -331.46, 0)",5,"(3574.42, -333.08, 0)",10.980163933202581
第三方电表,能-TB-02,"(3563.56, -316.46, 0)",3,"(3574.42, -318.08, 0)",10.980163933202581
第三方电表,能-TB-01,"(3563.56, -301.46, 0)",1,,0.0
第三方电表,能-TA-04,"(3513.56, -346.46, 0)",5,"(3524.42, -348.08, 0)",10.980163933202581
第三方电表,能-TA-03,"(3513.56, -331.46, 0)",4,"(3524.42, -333.08, 0)",10.980163933202581
第三方电表,能-TA-02,"(3513.56, -316.46, 0)",3,"(3524.42, -318.08, 0)",10.980163933202581
第三方电表,能-TA-01,"(3513.56, -301.46, 0)",1,,0.0
第三方电表,TB1-03,"(1999.78, -301.46, 0)",3,"(2010.64, -303.08, 0)",10.980163933202581
第三方电表,TA1-联络柜,"(1849.78, -361.46, 0)",1,,0.0
第三方电表,补偿柜,"(1949.78, -316.46, 0)",1,,0.0
第三方电表,TB1-06,"(1999.78, -361.46, 0)",6,"(2010.64, -363.08, 0)",10.980163933202581
第三方电表,TB1-05,"(1999.78, -346.46, 0)",8,"(2010.64, -348.08, 0)",10.980163933202581
第三方电表,TB1-04,"(1999.78, -331.46, 0)",7,"(2010.64, -333.08, 0)",10.980163933202581
第三方电表,TB1-ATS1,"(1999.78, -316.46, 0)",2,"(2010.64, -318.08, 0)",10.980163933202581
第三方电表,TB1-02,"(1949.78, -346.46, 0)",5,"(1960.64, -348.08, 0)",10.980163933202581
第三方电表,TB1-01,"(1949.78, -331.46, 0)",5,"(1960.64, -333.08, 0)",10.980163933202581
水表,进线柜,"(1949.78, -301.46, 0)",1,,0.0
第三方电表,TA1-05,"(1899.78, -316.46, 0)",8,"(1910.64, -318.08, 0)",10.980163933202581
第三方电表,TA1-04,"(1899.78, -301.46, 0)",7,"(1910.64, -303.08, 0)",10.980163933202581
第三方电表,TA1-03,"(1849.78, -376.46, 0)",6,"(1860.64, -378.08, 0)",10.980163933202581
第三方电表,TA1-02,"(1849.78, -346.46, 0)",5,"(1860.64, -348.08, 0)",10.980163933202581
第三方电表,TA1-01,"(1849.78, -331.46, 0)",6,"(1860.64, -333.08, 0)",10.980163933202581
第三方电表,补偿柜,"(1849.78, -316.46, 0)",1,,0.0
第三方电表,进线柜,"(1849.78, -301.46, 0)",1,,0.0
第三方电表,TB1-07,"(1461.85, -346.46, 0)",7,"(1472.71, -348.08, 0)",10.980163933202581
第三方电表,TB1-联络,"(1411.85, -361.46, 0)",1,,0.0
第三方电表,TA1-07,"(1361.85, -346.46, 0)",7,"(1372.71, -348.08, 0)",10.980163933202581
第三方电表,TA1-柴发联络柜,"(1311.85, -361.46, 0)",1,,0.0
第三方电表,补偿柜,"(1411.85, -316.46, 0)",1,,0.0
第三方电表,TB1-06,"(1461.85, -331.46, 0)",9,"(1472.71, -333.08, 0)",10.980163933202581
第三方电表,TB1-05,"(1461.85, -316.46, 0)",9,"(1472.71, -318.08, 0)",10.980163933202581
第三方电表,TB1-04,"(1461.85, -301.46, 0)",9,"(1472.71, -303.08, 0)",10.980163933202581
第三方电表,TB1-03,"(1411.85, -376.46, 0)",7,"(1422.71, -378.08, 0)",10.980163933202581
第三方电表,TB1-02,"(1411.85, -346.46, 0)",9,"(1422.71, -348.08, 0)",10.980163933202581
第三方电表,TB1-01,"(1411.85, -331.46, 0)",3,"(1422.71, -333.08, 0)",10.980163933202581
第三方电表,进线柜,"(1411.85, -301.46, 0)",1,,0.0
第三方电表,TA1-06,"(1361.85, -331.46, 0)",9,"(1372.71, -333.08, 0)",10.980163933202581
第三方电表,TA1-05,"(1361.85, -316.46, 0)",9,"(1372.71, -318.08, 0)",10.980163933202581
第三方电表,TA1-04,"(1361.85, -301.46, 0)",9,"(1372.71, -303.08, 0)",10.980163933202581
第三方电表,TA1-03,"(1311.85, -376.46, 0)",7,"(1322.71, -378.08, 0)",10.980163933202581
第三方电表,TA1-02,"(1311.85, -346.46, 0)",8,"(1322.71, -348.08, 0)",10.980163933202581
第三方电表,TA1-01,"(1311.85, -331.46, 0)",8,"(1322.71, -333.08, 0)",10.980163933202581
第三方电表,补偿柜,"(1311.85, -316.46, 0)",1,,0.0
第三方电表,进线柜,"(1311.85, -301.46, 0)",1,,0.0
第三方电表,2TB1-04,"(3014.6, -358.46, 0)",6,"(3025.46, -360.08, 0)",10.980163933202581
第三方电表,2TA1-07,"(2964.6, -313.46, 0)",1,,0.0
第三方电表,2TB1-10,"(3064.6, -313.46, 0)",7,"(3075.46, -315.08, 0)",10.980163933202581
第三方电表,2TB1-05,"(3064.6, -298.46, 0)",9,"(3075.46, -300.08, 0)",10.980163933202581
第三方电表,2TB1-03,"(3014.6, -343.46, 0)",6,"(3025.46, -345.08, 0)",10.980163933202581
第三方电表,2TB1-02,"(3014.6, -328.46, 0)",7,"(3025.46, -330.08, 0)",10.980163933202581
第三方电表,2TB1-01,"(3014.6, -313.46, 0)",6,"(3025.46, -315.08, 0)",10.980163933202581
第三方电表,进线柜,"(3014.6, -298.46, 0)",1,,0.0
第三方电表,2TA1-08,"(2964.6, -328.46, 0)",8,"(2975.46, -330.08, 0)",10.980163933202581
第三方电表,2TA1-05,"(2964.6, -298.46, 0)",6,"(2975.46, -300.08, 0)",10.980163933202581
第三方电表,2TA1-04,"(2914.6, -373.46, 0)",7,"(2925.46, -375.08, 0)",10.980163933202581
第三方电表,2TA1-03,"(2914.6, -358.46, 0)",9,"(2925.46, -360.08, 0)",10.980163933202581
第三方电表,2TA1-02,"(2914.6, -343.46, 0)",8,"(2925.46, -345.08, 0)",10.980163933202581
第三方电表,2TA1-01,"(2914.6, -328.46, 0)",5,"(2925.46, -330.08, 0)",10.980163933202581
第三方电表,2TA1-00,"(2914.6, -313.46, 0)",1,,0.0
第三方电表,进线柜,"(2914.6, -298.46, 0)",1,,0.0
第三方电表,1TB1-10,"(2540.72, -361.46, 0)",7,"(2551.58, -363.08, 0)",10.980163933202581
第三方电表,1TB1-07,"(2540.72, -346.46, 0)",8,"(2551.58, -348.08, 0)",10.980163933202581
第三方电表,1TB1-06,"(2540.72, -331.46, 0)",8,"(2551.58, -333.08, 0)",10.980163933202581
第三方电表,1TB1-05,"(2540.72, -316.46, 0)",7,"(2551.58, -318.08, 0)",10.980163933202581
第三方电表,1TB1-04,"(2540.72, -301.46, 0)",1,,0.0
第三方电表,1TB1-03,"(2490.72, -346.46, 0)",8,"(2501.58, -348.08, 0)",10.980163933202581
第三方电表,1TB1-02,"(2490.72, -331.46, 0)",8,"(2501.58, -333.08, 0)",10.980163933202581
第三方电表,1TB1-01,"(2490.72, -316.46, 0)",8,"(2501.58, -318.08, 0)",10.980163933202581
第三方电表,进线柜,"(2490.72, -301.46, 0)",1,,0.0
第三方电表,1TA1-10,"(2440.72, -361.46, 0)",8,"(2451.58, -363.08, 0)",10.980163933202581
第三方电表,1TA1-09,"(2440.72, -346.46, 0)",1,,0.0
第三方电表,1TA1-07,"(2440.72, -331.46, 0)",9,"(2451.58, -333.08, 0)",10.980163933202581
第三方电表,1TA1-06,"(2440.72, -316.46, 0)",1,,0.0
第三方电表,1TA1-05,"(2440.72, -301.46, 0)",7,"(2451.58, -303.08, 0)",10.980163933202581
第三方电表,1TA1-04,"(2390.72, -376.46, 0)",7,"(2401.58, -378.08, 0)",10.980163933202581
第三方电表,1TA1-03,"(2390.72, -361.46, 0)",9,"(2401.58, -363.08, 0)",10.980163933202581
第三方电表,1TA1-02,"(2390.72, -346.46, 0)",7,"(2401.58, -348.08, 0)",10.980163933202581
第三方电表,1TA1-01,"(2390.72, -331.46, 0)",7,"(2401.58, -333.08, 0)",10.980163933202581
第三方电表,1TA1-00,"(2390.72, -316.46, 0)",1,,0.0
第三方电表,进线柜,"(2390.72, -301.46, 0)",1,,0.0
